appid,game_name,release_year,rec_cpu_requirement,rec_gpu_requirement,rec_ram_gb,matched_cpu_chipset,matched_cpu_price,matched_gpu_chipset,matched_gpu_price,matched_ram_size,matched_ram_price,total_estimated_price
403590,Klepto,2016,Intel Core i7,NVIDIA GeForce GTX 980,12,Intel Core i7-3770,98.69,GeForce GTX 980,389,32 GB,59.99,547.68
421660,Harmonia,2016,Intel Core i3 or higher,512MB Video Memory (with Pixel Shader 2.0),2,Intel Core i3-7100T,29,GeForce GTX 460,154.87,2 GB,11.74,195.61
465780,New Retro Arcade: Neon,2016,Intel i7-4770,NVIDIA GTX 980,16,Intel Core i7-4770K,99,GeForce GTX 980,389,16 GB,43.83,531.83
406870,Eventide: Slavic Fable,2016,2 GHz,256 MB VRAM,1,Intel Pentium E2220,12.99,GeForce GTX 460,154.87,2 GB,11.74,179.60
211820,Starbound,2016,Core i3,Discrete GPU capable of directx 9.0c,4,Intel Core i3-7100T,29,GeForce 9500 GT,119.99,4 GB,11.77,160.76
445070,Tatsu,2016,2 gHz,OpenGL 3+,1,Intel Pentium E2220,12.99,GeForce GTX 460,154.87,2 GB,11.74,179.60
443450,LASTFIGHT,2016,Intel Core i5-4460 @3.20GHz or AMD FX-9370,NVIDIA® GeForce® GTX 760 or AMD Radeon R7 370,4,Intel Core i5-2400,49.99,Radeon RX 7600,274.99,4 GB,11.77,336.75
564960,Return to Krondor,2016,1.4 GHz,DirectX 9 Compatible 3D Card,0.5,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
543150,Guardian of The Demon Valley,2016,Intel i7-4770 3.4 GHz,NVIDIA GTX 980,16,Intel Core i7-4770K,99,GeForce GTX 980,389,16 GB,43.83,531.83
503680,The Seeker,2016,Intel® Core i7-3820 or AMD FX 8320E,NVidia GTX 660+ or ATI Radeon HD 7870+,2.0,Intel Core i7-3770,98.69,GeForce GTX 660 Ti,239,2 GB,11,348.69
371010,Nomad Fleet,2016,Core i5/i7 or equivalent,1 GB DX11 Compliant with PS 3.0 support,8,Intel Core i5-2400,49.99,GeForce GTX 460,154.87,16 GB,31.99,236.85
246620,Plague Inc: Evolved,2016,3.0GHz i5 Dual Core or equivalent,Nvidia GeForce GTX 650 Radeon HD 3600 (1GB),2,Intel Pentium E5700,14.99,Radeon RX 6500 XT,110.49,2 GB,11.74,137.22
531860,Where's My What?,2016,2.0 GHz,vCard with DirectX 9.0 support,2,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
477950,Simple Spy,2016,2.4 GHz,1 GB Video Memory,4,Intel Pentium E2220,12.99,GeForce GTX 1660,231.32,4 GB,11.77,256.08
533890,ReBoot,2016,Dual Core processor,Compatible with DirectX11 with 1024 MB RAM or better,4,Intel Pentium E2220,12.99,GeForce GTX 760,269,4 GB,11.77,293.76
460920,Steep™,2016,Intel Core i7 3770K at 3.5 Ghz or AMD FX-8350 at 4.0 Ghz,GeForce GTX 970 or Radeon R9 390,8,Intel Core i7-3770,98.69,GeForce GTX 970,100,8 GB,11.99,210.68
456160,Flag N Frag,2016,1.4GHz processor or faster,DirectX 8-compatible graphics card with at least 32MB of video memory,1,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
478010,ABC Coloring Town,2016,1.0 GHz,vCard with DirectX 9.0 support,2,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
529420,Crazy Sapper 3D,2016,Dual Core 2.3 GHZ,512 MB VRAM,1,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
468320,Mini Golf Mundo,2016,2.0 GHz,vCard with DirectX 9.0 support,2,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
485310,Head Shot,2016,3 GHz Dual-Core 64-bit CPU,DirectX11 Compatible GPU with 2 GB Video RAM,2,Intel Pentium E5700,14.99,GeForce GTX 760,269,2 GB,11.74,295.73
527160,Cmoar VR Cinema,2016,Intel i7-3770 equivalent or greater,NVIDIA® GeForce® GTX 980 equivalent or greater,4,Intel Core i7-3770,98.69,GeForce GTX 980,389,4 GB,11.77,499.46
507490,Ashes of the Singularity: Escalation,2016,Intel Core i5 or Equivalent,4 GB GDDR5 NVidia GTX 970 / AMD R9 390 or better,16,Intel Core i5-4570T,49,GeForce GTX 970,100,16 GB,17.51,166.51
459820,Crush Crush,2016,Modern Intel/AMD CPU 2GHz+,Graphics card with DX9 (shader model 2.0) capabilities. Anything made since 2004 should work.,2,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
516940,MineSweeper VR,2016,Intel i5-4590 / AMD FX 8350 equivalent or greater,NVIDIA GeForce® GTX 970 / AMD Radeon™ R9 290 equivalent or greater,8,Intel Core i5-4570T,49,GeForce GTX 970,100,8 GB,11.99,160.99
501970,Phantasmagoria 2: A Puzzle of Flesh,2016,1.4 GHz,DirectX 9 Compatible 3D Card,0.5,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
410390,Warhammer: Vermintide VR - Hero Trials,2016,SKL i7 6700K or equivalent,NVIDIA GeForce GTX 980 or equivalent,16,Intel Core i7-6700,123,GeForce GTX 980,389,16 GB,43.83,555.83
477770,Ride 2,2016,Intel Core i5 4670K 3.4 GHz / AMD FX-9590 4.7 GHz or equivalent,GeForce GTX 970 / AMD Radeon R9 390 4GB*,8,Intel Core i5-4570T,49,GeForce GTX 970,100,8 GB,11.99,160.99
540410,Queendoom,2016,Intel® Core™ i5-6500 3.2 Ghz,NVIDIA® GeForce GTX 980,8,Intel Core i5-6500,87.13,GeForce GTX 980,389,16 GB,31.99,508.12
444800,NO THING,2016,2.0 Ghz+,Pixel Shader 3.0,4,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,4 GB,11.77,144.75
563160,VR the Anime Girls Method / 全豚に告ぐ！これで痩せなきゃお前は終わりだ！,2016,Intel i7-6700 equivalent or better,Nvidia GeForce GTX 980 or better,8,Intel Core i7-6700,123,GeForce GTX 980,389,16 GB,31.99,543.99
507440,Island Simulator 2016,2016,I7 3.5GHZ or better,Nvidia GTX 980 or better,8,Intel Xeon E3-1220 V6,25,GeForce GTX 980,389,16 GB,31.99,445.99
444620,SpellKnights,2016,Intel(R) Core(TM) i5-3570k CPU @ 3.40GHz,AMD Radeon HD 7900 Series,7.8,Intel Core i5-3570K,128.99,Radeon HD 7950,358.26,8 GB,11.99,499.24
413420,Danganronpa 2: Goodbye Despair,2016,Intel(R) Core(TM) i5-3470 or better,OpenGL 3.2 compatible GPU with at least 1GB of VRAM,4,Intel Core i5-3470,95.46,GeForce 9500 GT,119.99,4 GB,11.77,227.22
394540,Spaceport Hope,2016,2.0GHz processor or higher,OpenGL 4.0 + 1GB VRAM or higher,2,Intel Pentium E2220,12.99,GeForce GTX 660 Ti,239,2 GB,11,262.99
470220,UNO,2017,Intel Core i3 530,NVIDIA GTX 560TI or AMD 5870,4,Intel Core i3-530,45,GeForce GTX 660 Ti,239,4 GB,5,289.00
404070,Lords of New York,2017,Core 2 Duo 3GHz or better,ATI or NVidia card w/ 1024 MB RAM,3,Intel Pentium E5700,14.99,GeForce GTX 750 Ti,395,4 GB,5,414.99
746990,Prelude: Psychological Horror Game,2017,3 ghz,Nvidia GTX 960,8,Intel Pentium E5700,14.99,GeForce GTX 960,249,16 GB,31.99,295.98
566690,Meriwether: An American Epic,2017,Intel Core i7 or equivalent,NVIDIA GeForce GTX 770 or AMD R9 280,8,Intel Core i7-3770,98.69,Radeon RX 7700 XT,399.97,16 GB,31.99,530.65
544970,Milkmaid of the Milky Way,2017,Intel i5 or better,Medium Powered DirectX10 Card,2,Intel Core i5-2400,49.99,GeForce 9500 GT,119.99,2 GB,11.74,181.72
455190,Domain Defense VR,2017,Intel Core i5 or Equivalent,Geforce GTX 980 or 1060,2,Intel Core i5-2400,49.99,GeForce GTX 980,389,2 GB,11.74,450.73
589080,Enigma Sphere :Enhanced Edition,2017,Intel Core i7 6700K equivalent or greater,NVIDIA GTX 980 / AMD equivalent or greater,16,Intel Core i7-6700,123,GeForce GTX 980,389,16 GB,43.83,555.83
597720,Stunt Toys,2017,2.5+ GHz Quad core,Nvidia GTX 970 or above (AMD equivalent),4,Intel Core i5-4570T,49,GeForce GTX 970,100,4 GB,5,154.00
719130,OVO Smash!,2017,2.4 Ghz (Intel Core i5 / AMD Phenom II),GeForce 8000+ / Radeon HD 5000+,4,Intel Pentium E2220,12.99,GeForce GT 740,147,4 GB,5,164.99
722040,Cargo Breach,2017,Intel Core i7 6700K equivalent or greater,NVIDIA GTX 980 / AMD equivalent or greater,16,Intel Core i7-6700,123,GeForce GTX 980,389,16 GB,43.83,555.83
570580,Zork Anthology,2017,1.4 GHz,DirectX 9 Compatible 3D Card,0.5,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
547970,Celestial Breach,2017,Quad Core CPU @3 Ghz or faster,Desktop Nvidia GTX 960 or faster,8,Intel Pentium E5700,14.99,GeForce GTX 960,249,16 GB,31.99,295.98
530820,Subject A-119,2017,Intel I5-4460 or AMD FX 8350,NVIDIA GeForce GTX 970 or AMD Radeon R9 290,8,Intel Core i5-4570T,49,GeForce GTX 970,100,8 GB,11.99,160.99
708580,Exorcism of the Legion (Last Rites) DELISTED,2017,Intel Core i7,NVIDIA GTX 980 / AMD equivalent or greater,16,Intel Core i7-3770,98.69,GeForce GTX 980,389,16 GB,43.83,531.52
747130,Haunted Dream House,2017,1600MHz 64-bit (x64),DirectX,0.2,Intel Core i7-3770,98.69,GeForce 9500 GT,119.99,2 GB,11.74,230.42
682810,GUTS,2017,Intel or AMD 3.0 Ghz,GeForce GTX 660 2gb,8,Intel Pentium E5700,14.99,GeForce GTX 660 Ti,239,8 GB,11.99,265.98
720600,Halloween: Jigsaw Puzzles,2017,1.0 GHz,vCard with DirectX 9.0 support,2,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
625370,A SECOND BEFORE US,2017,3.0 GHz Quad Core CPU,2GB NVIDIA GTX 660 / Radeon RX 460 or better,6,Intel Pentium E5700,14.99,Radeon RX 6600,219.99,16 GB,31.99,266.97
726260,Bit Bullet,2017,Intel CPU Core i5,Nvidia GTX 660 or newer,8,Intel Core i5-4570T,49,GeForce GTX 660 Ti,239,8 GB,11.99,299.99
649640,Ashes Cricket,2017,Intel Core i5-4200 / AMD Phenom II X4 970,AMD Radeon R9 390X or NVIDIA GeForce GTX 970 with minimum 2GB Memory,8,Intel Core i5-4570T,49,GeForce GTX 970,100,8 GB,11.99,160.99
648750,Tokaido,2017,Intel Core i5,Nvidia GTX960,4,Intel Core i5-2400,49.99,GeForce GTX 960,249,4 GB,11.77,310.76
659870,Don't Die!,2017,3.0GHz i5 Dual Core or equivalent,NVIDIA GeForce GTX 650 or Radeon HD 3600 (1GB),2,Intel Pentium E5700,14.99,Radeon RX 6500 XT,110.49,2 GB,11.74,137.22
721510,Renters Revenge,2017,Intel i7-4770 equivalent or greater,NVIDIA GTX 980 / AMD equivalent or greater,8,Intel Core i7-4770K,99,GeForce GTX 980,389,16 GB,31.99,519.99
657990,Crafting Dead,2017,3 GHz,Nvidia GTX 760,8,Intel Pentium E5700,14.99,GeForce GTX 760,269,16 GB,31.99,315.98
634150,ReSizE,2017,Intel Core i3 6300 or better,NVIDIA GTX950 or better,0.0,Intel Core i3-6300,99.99,GeForce GTX 950,199,2 GB,11.74,310.73
550590,Archaica: The Path of Light,2017,Intel Core i3,NVIDIA GeForce GTX 760,4,Intel Core i3-7100T,29,GeForce GTX 760,269,4 GB,11.77,309.77
637860,斩毒：黑与白（Narcotics Police:Black and White）,2017,intel i5及以上,GTX950及以上,16,Intel Core i5-2400,49.99,GeForce GTX 950,199,16 GB,43.83,292.82
745710,SMACKHEAD,2017,1.5 Ghz or faster,256 MB video memory,1,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
767560,War Robots,2018,3.2 GHz,NVIDIA GTX 960,8,Intel Xeon E3-1220 V6,25,GeForce GTX 960,249,16 GB,31.99,305.99
820600,ReThink | Evolved 2,2018,AMD Ryzen 3 / Intel Core i3,AMD R9 290 / nvidia GTX 970,4,Intel Core i3-7100T,29,GeForce GTX 970,100,4 GB,5,134.00
799270,Looney Rally,2018,AMD FX-6300 or Intel Core i5-3570K,Nvidia GeForce GTX 660 or AMD Radeon HD 7850,0.0,Intel Core i5-4570T,49,GeForce GTX 660 Ti,239,2 GB,11,299.00
848410,Detached: Non-VR Edition,2018,Intel Core i7-3770K Quad Core CPU or better,NVIDIA GTX 980 / AMD Radeon R9 390X equivalent or greater.,8,Intel Core i5-2400,49.99,GeForce GTX 980,389,16 GB,31.99,470.98
508410,SKIPCHASER,2018,1.5 GHz processor,OpenGL 2.1 or higher (available in most modern Windows systems),2,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
595260,Heat Guardian,2018,Intel i5,GeForce GTX 660,16,Intel Core i5-4570T,49,GeForce GTX 660 Ti,239,16 GB,17.51,305.51
774351,Citystate,2018,Intel Core i7-4770,Radeon HD 3200,4,Intel Core i7-4770K,99,Radeon Pro WX 3200,132.69,4 GB,11.77,243.46
704850,Thief Simulator,2018,Intel Core i7,NVidia GeForce GTX 1050,8,Intel Core i7-3770,98.69,GeForce GTX 1050 Ti,263.99,16 GB,31.99,394.67
770500,Goblin Gearshop,2018,Dual Core @2.60GHz,NVIDIA GeForce GTX 660 / AMD Radeon R7 260X,2,Intel Pentium E5700,14.99,GeForce GTX 660 Ti,239,2 GB,11,264.99
848500,Sniper Strike: Special Ops,2018,Intel Core i5 or AMD Equivalent,NVIDIA Geforce GTX 960,4,Intel Core i5-2400,49.99,GeForce GTX 960,249,4 GB,11.77,310.76
628290,All Walls Must Fall - A Tech-Noir Tactics Game,2018,Quad-core Intel or AMD processor 2.5 GHz or faster,DX11 compatible video card,8,Intel Pentium E5700,14.99,GeForce 9500 GT,119.99,16 GB,31.99,166.97
810050,Starbucket,2018,Intel Core i5 3210m and up (or equivalent),Intel HD Graphics 4000 and up (or equivalent) [DX9 (shader model 3.0) or DX11 with feature level 9.3 capabilities],4,Intel Core i5-2400,49.99,GeForce 9500 GT,119.99,4 GB,11.77,181.75
860070,BULLETLINE,2018,Core i7,SM4 1GB VRAM,6,Intel Core i7-3770,98.69,GeForce GTX 1660,231.32,16 GB,31.99,362.00
453910,Love is Dead,2018,2.0 GHz Quad Code,Shader Model 3.0 512mb VRAM,4,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,4 GB,11.77,144.75
